obd.time,obd.trip,obd.ecu,obd.temp,obd.rpm,obd.vss,obd.throttlepos,obd.map,obd.sparkadv,gps.lon,gps.lat,gps.alt,trip.tripid,
1334513789.409149,1.000000,0.000000,90.000000,2685.250000,111.000000,23.529411,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513790.409380,1.000000,0.000000,90.000000,2660.500000,110.000000,18.039215,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513791.409635,1.000000,0.000000,90.000000,2642.500000,109.000000,19.607843,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513792.409905,1.000000,0.000000,90.000000,2628.750000,109.000000,21.568628,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513793.410132,1.000000,0.000000,90.000000,2610.500000,108.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513794.410383,1.000000,0.000000,90.000000,2565.750000,106.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513795.530703,1.000000,0.000000,90.000000,2489.000000,104.000000,9.411765,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513796.530928,1.000000,0.000000,90.000000,2383.000000,101.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513797.531193,1.000000,0.000000,90.000000,2261.750000,96.000000,9.411765,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513798.531437,1.000000,0.000000,90.000000,2144.500000,90.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513799.531772,1.000000,0.000000,90.000000,2081.000000,88.000000,9.411765,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513800.532011,1.000000,0.000000,90.000000,2023.500000,86.000000,9.411765,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513801.532249,1.000000,0.000000,90.000000,1978.750000,84.000000,9.411765,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513802.532507,1.000000,0.000000,90.000000,1931.750000,82.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513803.690820,1.000000,0.000000,90.000000,1795.000000,79.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513804.691108,1.000000,0.000000,90.000000,1815.750000,77.000000,9.411765,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513805.691347,1.000000,0.000000,90.000000,1760.000000,74.000000,9.803922,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513806.691603,1.000000,0.000000,90.000000,1644.250000,70.000000,9.411765,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513807.691864,1.000000,0.000000,90.000000,1593.500000,67.000000,9.411765,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513808.692125,1.000000,0.000000,90.000000,1476.500000,62.000000,9.411765,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513809.692377,1.000000,0.000000,90.000000,1347.250000,56.000000,9.411765,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513810.692622,1.000000,0.000000,90.000000,1151.750000,48.000000,9.411765,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513811.846443,1.000000,0.000000,90.000000,820.000000,39.000000,9.411765,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513812.846690,1.000000,0.000000,88.000000,789.250000,30.000000,9.411765,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513813.846943,1.000000,0.000000,88.000000,664.000000,20.000000,9.411765,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513814.847195,1.000000,0.000000,88.000000,639.250000,13.000000,9.411765,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513815.847431,1.000000,0.000000,88.000000,646.750000,7.000000,9.411765,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513816.847682,1.000000,0.000000,88.000000,918.000000,0.000000,18.823530,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513817.847944,1.000000,0.000000,88.000000,1838.500000,6.000000,20.784313,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513818.848155,1.000000,0.000000,88.000000,2087.250000,15.000000,25.490196,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513819.983818,1.000000,0.000000,88.000000,2471.750000,21.000000,16.470589,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513820.984088,1.000000,0.000000,88.000000,2046.250000,22.000000,25.098040,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513821.984321,1.000000,0.000000,88.000000,2281.500000,26.000000,24.313726,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513822.984573,1.000000,0.000000,88.000000,2092.000000,29.000000,21.176470,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513823.984810,1.000000,0.000000,88.000000,2343.750000,31.000000,25.882353,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513824.985063,1.000000,0.000000,88.000000,2442.000000,35.000000,26.274509,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513825.985322,1.000000,0.000000,88.000000,2516.750000,37.000000,26.274509,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513826.985556,1.000000,0.000000,88.000000,2644.500000,40.000000,26.274509,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513828.102146,1.000000,0.000000,88.000000,2767.500000,43.000000,25.490196,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513829.102407,1.000000,0.000000,88.000000,2856.000000,46.000000,25.098040,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513830.102669,1.000000,0.000000,88.000000,2852.750000,48.000000,21.960785,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513831.102903,1.000000,0.000000,88.000000,2261.750000,48.000000,24.705883,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513832.103212,1.000000,0.000000,88.000000,2360.500000,50.000000,24.313726,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513833.103532,1.000000,0.000000,90.000000,2279.500000,51.000000,22.352942,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513834.103801,1.000000,0.000000,90.000000,2278.750000,52.000000,22.745098,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513835.104011,1.000000,0.000000,90.000000,2281.500000,53.000000,12.156863,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513836.224997,1.000000,0.000000,90.000000,1938.250000,51.000000,16.470589,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513837.225247,1.000000,0.000000,90.000000,2001.000000,51.000000,18.039215,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513838.225482,1.000000,0.000000,90.000000,2069.500000,51.000000,18.823530,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513839.225735,1.000000,0.000000,90.000000,2110.250000,51.000000,23.921568,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513840.226000,1.000000,0.000000,90.000000,2351.000000,52.000000,23.529411,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513841.226222,1.000000,0.000000,90.000000,2379.250000,54.000000,21.176470,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513842.226502,1.000000,0.000000,90.000000,2309.000000,55.000000,21.176470,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513843.226728,1.000000,0.000000,91.000000,2327.000000,56.000000,21.568628,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513844.331450,1.000000,0.000000,91.000000,2337.750000,57.000000,19.215687,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513845.331721,1.000000,0.000000,91.000000,2259.000000,57.000000,23.921568,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513846.331975,1.000000,0.000000,91.000000,2496.500000,58.000000,24.705883,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513847.332246,1.000000,0.000000,91.000000,2537.000000,59.000000,27.843138,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513848.332508,1.000000,0.000000,91.000000,2622.250000,61.000000,28.627451,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513849.332767,1.000000,0.000000,91.000000,2655.750000,62.000000,28.627451,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513850.333012,1.000000,0.000000,91.000000,2713.250000,63.000000,28.627451,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
1334513851.333281,1.000000,0.000000,91.000000,2709.500000,64.000000,27.843138,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
